"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"352773269000577024","","","352752977129385984","9337082","2013-07-04 12:57:56 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @godfoca: 12 years after the fact, NETSCAPE WON THE BROWSER WARS http://t.co/k7RHIdcBB3 navigator.appName == ""Netscape"" in IE11","http://www.nczonline.net/blog/2013/07/02/internet-explorer-11-dont-call-me-ie/"
"352772254150557697","","","","","2013-07-04 12:53:54 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ecuador is nice http://t.co/pAvSJ6CU9p","http://www.elcomercio.com/sociedad/Ecuador-noticias-turismo-mejor-vida-jubilados_0_949105287.html"
"352570526142697472","","","","","2013-07-03 23:32:18 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Mi primer @firefox add-on https://t.co/N3cDQp9ozS si tienen cuenta en el Banco Pichincha esto les puede ayudar en las transferencias","https://addons.mozilla.org/en-US/firefox/addon/contactos-bancarios/"
"352542982152523776","","","352540760027037696","12380842","2013-07-03 21:42:51 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @egaroo: ""Lean is an entrepreneurial discipline; its aim: build the right thing. Agile is a developer discipline; its aim: build the thi…"
"352502413057458178","","","","","2013-07-03 19:01:39 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Join the Ubuntu Touch core apps development team | Ubuntu App Developer http://t.co/GVsahQ8iYg","http://buff.ly/1cRKWYT"
"352474853636456448","","","","","2013-07-03 17:12:08 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","""curl http://t.co/gizkNBhvEx"" http://t.co/fIEurorccQ","http://icanhazip.com","http://buff.ly/1cRiG8G"
"352460308423520256","","","","","2013-07-03 16:14:20 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Big list of http static server one-liners http://t.co/7SSe4xRxKZ","http://buff.ly/1cRbklu"
"352457568234373120","352456938463830016","17109253","","","2013-07-03 16:03:27 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ricardoarguello jaja siempre el factor humano es el eslabón más débil"
"352456767990534145","352456531041730561","17109253","","","2013-07-03 16:00:16 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ricardoarguello @ecblackberry chévere gracias, creo que voy por el archivo, más barato, no necesito tanta seguridad."
"352456197779095552","352454617281466368","17109253","","","2013-07-03 15:58:00 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ricardoarguello pero el archivo también tiene password"
